Column1,Content ID,Type,Date,time
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07,9:43:00
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17,12:22:00
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18,5:13:00
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06,19:13:00
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23,12:25:00
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07,6:27:00
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11,17:35:00
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27,8:32:00
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01,22:54:00
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04,5:05:00
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07,8:36:00
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02,6:28:00
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01,1:16:00
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07,18:39:00
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03,18:51:00
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24,5:09:00
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23,6:24:00
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24,11:37:00
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22,19:44:00
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31,16:03:00
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20,17:26:00
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11,20:47:00
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13,16:46:00
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11,14:29:00
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02,19:21:00
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27,18:44:00
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09,21:05:00
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04,23:58:00
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28,3:57:00
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25,8:21:00
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20,23:48:00
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07,12:40:00
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24,3:21:00
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24,11:03:00
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09,2:46:00
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02,3:43:00
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04,3:06:00
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09,2:49:00
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29,16:00:00
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29,21:33:00
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13,7:54:00
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14,5:28:00
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23,10:30:00
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10,9:27:00
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15,3:59:00
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25,17:01:00
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13,0:11:00
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20,18:17:00
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11,4:53:00
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08,10:40:00
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28,21:15:00
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25,1:00:00
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15,12:17:00
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05,16:26:00
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-08-31,0:21:00
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16,3:02:00
